product_id,name,category_id,price,sku,is_active
1,S3 Standard Storage Pack,1,49.99,S3-STD-001,true
2,S3 Glacier Archive,1,9.99,S3-GLC-002,true
3,EBS Volume 1TB,1,99.99,EBS-1TB-003,true
4,EC2 t3.medium Reserved,2,299.99,EC2-T3M-004,true
5,EC2 c5.xlarge Reserved,2,599.99,EC2-C5X-005,true
6,Lambda Compute Pack,2,19.99,LAM-PKG-006,true
7,CloudFront Distribution,3,29.99,CFT-DST-007,true
8,VPC Transit Gateway,3,149.99,VPC-TGW-008,true
9,Direct Connect 1Gbps,3,499.99,DC1-1GB-009,true
10,IAM Identity Center,4,0.00,IAM-IDC-010,true
11,AWS Shield Advanced,4,3000.00,SHD-ADV-011,true
12,AWS WAF Rules Pack,4,99.99,WAF-RUL-012,true
13,Redshift Serverless,5,299.99,RSF-SVL-013,true
14,QuickSight Enterprise,5,24.99,QST-ENT-014,true
15,SageMaker Studio,5,199.99,SGM-STU-015,true
16,CodePipeline Pro,6,49.99,CDP-PRO-016,true
17,CloudWatch Advanced,6,79.99,CWA-ADV-017,true
18,X-Ray Tracing Pack,6,29.99,XRY-TRC-018,true
